Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
long-sleeve-henley,,,,,,,Color,Charcoal,Size,S,LSH-CHR-S,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
long-sleeve-henley,,,,,,,Color,Charcoal,Size,M,LSH-CHR-M,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
long-sleeve-henley,,,,,,,Color,Charcoal,Size,L,LSH-CHR-L,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
long-sleeve-henley,,,,,,,Color,Charcoal,Size,XL,LSH-CHR-XL,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
vintage-wash-tee,Vintage Wash Tee,"<p>Garment-dyed for a lived-in look and feel from the first wear. Slightly heavier weight cotton.</p>",Shirt Shop,Shirts,"tee, vintage, garment-dyed",TRUE,Size,S,,,VWT-S,200,35,deny,manual,26.00,,TRUE,TRUE,,Vintage Wash Tee,FALSE,Vintage Wash Tee,Garment-dyed tee with a lived-in vintage feel.,active
vintage-wash-tee,,,,,,,Size,M,,,VWT-M,200,35,deny,manual,26.00,,TRUE,TRUE,,,,,,
vintage-wash-tee,,,,,,,Size,L,,,VWT-L,200,35,deny,manual,26.00,,TRUE,TRUE,,,,,,
vintage-wash-tee,,,,,,,Size,XL,,,VWT-XL,200,35,deny,manual,26.00,,TRUE,TRUE,,,,,,
striped-crew-tee,Striped Crew Tee,"<p>A classic stripe tee in a mid-weight cotton jersey. Pairs well with denim or shorts.</p>",Shirt Shop,Shirts,"tee, striped, casual",TRUE,Color,Navy/White,Size,S,SCT-NW-S,185,40,deny,manual,27.00,,TRUE,TRUE,,Striped Crew Tee - Navy/White,FALSE,Striped Crew Tee,Classic stripe crew tee in navy or black.,active
striped-crew-tee,,,,,,,Color,Navy/White,Size,M,SCT-NW-M,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Navy/White,Size,L,SCT-NW-L,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Navy/White,Size,XL,SCT-NW-XL,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Black/White,Size,S,SCT-BW-S,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Black/White,Size,M,SCT-BW-M,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Black/White,Size,L,SCT-BW-L,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
striped-crew-tee,,,,,,,Color,Black/White,Size,XL,SCT-BW-XL,185,40,deny,manual,27.00,,TRUE,TRUE,,,,,,
pocket-tee,Pocket Tee,"<p>A simple crew tee with a chest pocket. Pre-shrunk cotton for a consistent fit wash after wash.</p>",Shirt Shop,Shirts,"tee, pocket, basics",TRUE,Color,Heather Grey,Size,S,PKT-HGY-S,180,45,deny,manual,25.00,,TRUE,TRUE,,Pocket Tee - Heather Grey,FALSE,Pocket Tee,Simple crew tee with a chest pocket.,active
pocket-tee,,,,,,,Color,Heather Grey,Size,M,PKT-HGY-M,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Heather Grey,Size,L,PKT-HGY-L,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Heather Grey,Size,XL,PKT-HGY-XL,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Olive,Size,S,PKT-OLV-S,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Olive,Size,M,PKT-OLV-M,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Olive,Size,L,PKT-OLV-L,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
pocket-tee,,,,,,,Color,Olive,Size,XL,PKT-OLV-XL,180,45,deny,manual,25.00,,TRUE,TRUE,,,,,,
